Geoname ID;Name;ASCII Name;Alternate Names;Feature Class;Feature Code;Country Code;Country name EN;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;LABEL EN;Coordinates
7648641;Adenta;Adenta;;P;PPL;GH;Ghana;;01;305;;;50652;;58;Africa/Accra;2023-12-01;Ghana;5.71417, -0.15418
2295458;Sekondi-Takoradi;Sekondi-Takoradi;Sekandy-Takarady,Sekondi,Sekondi Takoradi,Sekondi-Takoradi,Sekondis-Takoradis,Sékondi,se kan di-ta ko ra di,sekonditakoladi,skwndy-takwrady,sqwndy-tqwrdy,sykwndy takwrady,Секанды-Такарады,Секонди,Секонди Такоради,Секонди-Такоради,Секонді-Такораді,סקונדי-טקורדי,سيكوندي تاكورادي,سکوندی-تاکورادی,سیکونڈی-ٹاکوراڈی,เซกันดี-ตาโกราดี,セコンディ・タコラディ,塞康第─塔科拉迪,세콘디타코라디;P;PPLA;GH;Ghana;;09;105;;;138872;;6;Africa/Accra;2019-12-06;Ghana;4.92678, -1.75773
2299233;Kpandu;Kpandu;Gabi,Kpando,Kpandu,Tsakpe,kbandw,kpandw,kupandou,Кпанду,קפאנדו,كباندو,کپاندو,クパンドゥ;P;PPL;GH;Ghana;;08;410;;;28334;;153;Africa/Accra;2019-12-06;Ghana;6.99536, 0.29306
2303258;Bechem;Bechem;Bechem;P;PPLA2;GH;Ghana;;12;706;;;17000;;296;Africa/Accra;2019-12-08;Ghana;7.09034, -2.02498
2305027;Akropong;Akropong;Akropong,Akropong-Akwapim,Akuropon;P;PPLA2;GH;Ghana;;05;506;;;11096;;454;Africa/Accra;2019-12-05;Ghana;5.97462, -0.08542
2297661;Nalerigu;Nalerigu;Nalerigu;P;PPLA;GH;Ghana;;15;819;;;17440;;353;Africa/Accra;2023-12-01;Ghana;10.52726, -0.36982
2297834;Mpraeso;Mpraeso;Mpraeso;P;PPLA2;GH;Ghana;;05;519;;;9007;;477;Africa/Accra;2019-12-05;Ghana;6.59321, -0.73462
2299645;Keta;Keta;Keta,Kitta,Kwitta,Quittah,kai ta,keta,kta,Кета,Կետա,کتا,کیٹا,ケタ,凱塔,케타;P;PPL;GH;Ghana;;08;402;;;18077;;0;Africa/Accra;2019-12-06;Ghana;5.91793, 0.98789
2304389;Apam;Apam;Apaa,Apam,Appam,apam,apamu,Апам,اپام,アパム;P;PPL;GH;Ghana;;04;206;;;20147;;81;Africa/Accra;2024-03-01;Ghana;5.285, -0.746
2295692;Sakumona;Sakumona;Sakumona,Sakumono Estates;P;PPL;GH;Ghana;;01;308;;;32886;;15;Africa/Accra;2023-12-01;Ghana;5.62135, -0.05193
2301190;Elmina;Elmina;Dena,Edina,Ehlmina,El'mina,Elmina,Mina Sancti Georgii,Saint George Del Mina,Sao Jorge da Mina,São Jorge da Mina,ai er mi na,almyna,aylmyna,elmina,erumina,Елмина,Ельміна,Элмина,אלמינה,ألمينا,ایلمینا,エルミナ,埃尔米纳,엘미나;P;PPL;GH;Ghana;;04;201;;;34403;;21;Africa/Accra;2023-12-01;Ghana;5.0847, -1.35093
2301424;Dambai;Dambai;Dambae,Dambai,Dambaé,Danbae,Dangbae,Dumbai;P;PPLA;GH;Ghana;;16;415;;;22445;;116;Africa/Accra;2023-12-01;Ghana;8.06616, 0.17947
2303287;Bawku;Bawku;Bawku;P;PPL;GH;Ghana;;10;909;;;76459;;228;Africa/Accra;2025-04-15;Ghana;11.05926, -0.24249
2294056;Sefwi Wiawso;Sefwi Wiawso;Sefwi Wiawso,Sehwi Wiawso,Wiawoso,Wiawso,Wiawuso,Wiosu;P;PPLA;GH;Ghana;;18;114;;;0;;193;Africa/Accra;2019-12-08;Ghana;6.20583, -2.48944
2299625;Kintampo;Kintampo;Kintampo;P;PPL;GH;Ghana;;14;722;;;53711;;343;Africa/Accra;2023-12-01;Ghana;8.05627, -1.73058
2302541;Buduburam;Buduburam;Bruburam,Buduburam;P;PPL;GH;Ghana;;04;208;;;63217;;62;Africa/Accra;2023-12-01;Ghana;5.52314, -0.47718
11205476;Tema New Town;Tema New Town;;P;PPL;GH;Ghana;;01;308;;;95837;;20;Africa/Accra;2023-12-01;Ghana;5.65396, 0.0264
12640506;Nkawkaw;Nkawkaw;;P;PPLA2;GH;Ghana;;05;518;;;47968;;254;Africa/Accra;2025-12-23;Ghana;6.54584, -0.76264
2294086;Wankyi;Wankyi;Wankyi,Wenchi,uenchi,wen qi,wynchy,وینچی,ウェンチ,溫奇;P;PPL;GH;Ghana;;13;714;;;45877;;307;Africa/Accra;2023-12-01;Ghana;7.73855, -2.1036
2299522;Koforidua;Koforidua;Koforidua,ke fu li du ya,kopolidua,kwfwrydwa,kwfwrydwya,Кофоридуа,کوفوریدوئا,کوفوریدوا,科福里杜亞,코포리두아;P;PPLA;GH;Ghana;;05;507;;;151255;;172;Africa/Accra;2023-12-01;Ghana;6.09408, -0.25913
2304121;Ashaiman;Ashaiman;Asaimana,Asaimanas,Aschaiman,Ashaiman,Ashiaman,Ašaimana,Ašaimanas,ao ba xi,ashaman,ashyaman,asi'amana,asiaman,asimana,asiyaman,asyamena,Ασχαϊμάν,Ашаиман,Ашаіман,آشيامان,اشیامان,अशिमान,अश्यमेन,অ্যাশিয়ামান,અશિઅમન,அஷியாமண்,ఆశియామాన్,ಆಶಿಯಾಮನ್,අසහියාමන්,เซียแมน,アシャマン,奥巴西,아시아만;P;PPL;GH;Ghana;;01;307;;;190972;;23;Africa/Accra;2023-12-01;Ghana;5.69951, -0.03484
8456972;Osu;Osu;Osu;P;PPLX;GH;Ghana;;01;304;;;44000;;32;Africa/Accra;2024-10-27;Ghana;5.55728, -0.1864
12640508;Taifa;Taifa;;P;PPL;GH;Ghana;;01;303;;;42623;;74;Africa/Accra;2023-12-01;Ghana;5.65825, -0.25223
2301217;Ejura;Ejura;Ejura;P;PPL;GH;Ghana;;02;626;;;70807;;224;Africa/Accra;2019-12-06;Ghana;7.38558, -1.35617
